personId,name,countryId,All Events,Speed AVGs,BLD/FMC AVGs,WC Podium,World Record,Won All Events,Conteo
2009LIUE01,Evan Liu,USA,Yes,Yes,Yes,Yes,Yes,Yes,6
2010BENT01,Jan Bentlage,Germany,Yes,Yes,Yes,Yes,Yes,Yes,6
2016CHAP04,Stanley Chapel,USA,Yes,Yes,Yes,Yes,Yes,Yes,6
