personId,name,countryId,All Events,Speed AVGs,BLD/FMC AVGs,WC Podium,World Record,Won All Events,Conteo
2012ZABR01,Ivan Zabrodin,Russia,Yes,Yes,No (2/4),No,No,No (16/17),2
2013BROW04,Evan Brown,USA,Yes,Yes,No (2/4),No,No,No (6/17),2
2013CABR01,Christopher Cabrera,USA,Yes,Yes,No (2/4),No,No,No (0/17),2
2013CONA01,Michael Conard,USA,Yes,Yes,No (3/4),No,No,No (0/17),2
2013CRON01,Conor Cronin,South Africa,Yes,Yes,No (2/4),No,No,No (4/17),2
2013DIPI01,Guido Dipietro,Argentina,Yes,Yes,No (3/4),No,No,No (9/17),2
2013EGDA01,Daniel Vædele Egdal,Denmark,Yes,Yes,No (2/4),No,No,No (9/17),2
2013FRON01,Martin Fronescu,Romania,Yes,Yes,No (2/4),No,No,No (15/17),2
2013GHOD01,Abhijeet Ghodgaonkar,India,Yes,Yes,No (3/4),No,No,No (10/17),2
2013GOOD01,Daniel Goodman,USA,Yes,Yes,No (3/4),No,No,No (4/17),2
2013KOBA01,Tomohiro Kobayashi (小林知広),Japan,Yes,Yes,No (2/4),No,No,No (5/17),2
2013LANG03,Mason Langenderfer,USA,Yes,Yes,No (3/4),No,No,No (6/17),2
2013LOYK01,Nikita Loika,Belarus,Yes,Yes,No (2/4),No,No,No (8/17),2
2013MINT01,Deni Mintsaev (Дени Минцаев),Russia,Yes,Yes,No (2/4),No,No,No (3/17),2
2013MUAT01,Matěj Mužátko,Czech Republic,Yes,Yes,No (2/4),No,No,No (6/17),2
2013SANT13,Sergio Torrijos Santano,Spain,Yes,Yes,No (3/4),No,No,No (3/17),2
2013TANG07,Feilong Tang (唐飞龙),China,Yes,Yes,No (2/4),No,No,No (1/17),2
2013TITO02,Georgiy Titov (Георгій Тітов),Ukraine,Yes,Yes,No (2/4),No,No,No (4/17),2
2013VASI02,Vasile Dan,Romania,Yes,Yes,No (1/4),No,No,No (6/17),2
2013WEAV01,Sydney Weaver,USA,Yes,Yes,No (0/4),No,No,No (5/17),2
2014BILG01,Jason Bilgrei,USA,Yes,Yes,No (2/4),No,No,No (4/17),2
2014BULU01,Sergio Bulux,Guatemala,Yes,Yes,No (1/4),No,No,No (6/17),2
2014CAIJ02,Jack Cai,Australia,Yes,No (10/12),No (3/4),No,Yes,No (6/17),2
2014DAYM01,Max Day,United Kingdom,Yes,Yes,No (1/4),No,No,No (0/17),2
2014ENDO01,Jolo Endona,Philippines,Yes,Yes,No (2/4),No,No,No (7/17),2
2014ESWA01,Karthikeyan Eswaran,India,Yes,Yes,No (2/4),No,No,No (2/17),2
2014FRIT02,Oliver Fritz,Germany,Yes,Yes,No (3/4),No,No,No (14/17),2
2014GLYR01,Victor Glyrskov,Denmark,Yes,Yes,No (2/4),No,No,No (4/17),2
2014GOSL01,Raymond Goslow,USA,Yes,Yes,No (3/4),No,No,No (16/17),2
2014IRIA01,Julen Simón Iriarte,Spain,Yes,Yes,No (2/4),No,No,No (9/17),2
2014JOYO01,Yong Hyeon Jo (조용현),Korea,Yes,Yes,No (2/4),No,No,No (2/17),2
2014KIMJ02,Jungwoo Kim (김정우),Korea,Yes,Yes,No (3/4),No,No,No (2/17),2
2014LEZA02,Bruno Lezama,Uruguay,Yes,Yes,No (2/4),No,No,No (9/17),2
2014LONG06,Bertie Longden,United Kingdom,Yes,Yes,No (2/4),No,No,No (2/17),2
2014MAUR06,Lorenzo Mauro,Italy,Yes,Yes,No (2/4),No,No,No (13/17),2
2014MODA01,Shantanu Modak,Singapore,Yes,Yes,No (2/4),No,No,No (5/17),2
2014NIET03,Oscar Nieto,Colombia,Yes,Yes,No (2/4),No,No,No (15/17),2
2014NUNE05,Rodrigo Pueblas Núñez,Spain,Yes,Yes,No (2/4),No,No,No (5/17),2
2014OHLE01,Simone Ohler,Germany,Yes,Yes,No (3/4),No,No,No (2/17),2
2014PRID01,Ethan Pride,Australia,Yes,Yes,No (2/4),No,No,No (12/17),2
2014RENW01,William Gan Wei Ren (颜伟仁),Malaysia,Yes,Yes,No (3/4),No,No,No (2/17),2
2014SCHW02,Fabio Schwandt,United Kingdom,Yes,Yes,No (2/4),No,No,No (12/17),2
2014SONG08,Zian Song (宋子安),China,Yes,Yes,No (2/4),No,No,No (3/17),2
2014TANA01,Takayuki Tanaka (田中隆喜),Japan,Yes,Yes,No (3/4),No,No,No (2/17),2
2014TAOW01,William Tao,Australia,Yes,Yes,No (1/4),No,No,No (1/17),2
2014WILD03,Damian Wilding,USA,Yes,Yes,No (2/4),No,No,No (5/17),2
2014ZARA01,Rodrigo Zarate,Peru,Yes,Yes,No (2/4),No,No,No (6/17),2
2014ZHAN11,Yunke Zhang (张云柯),China,Yes,Yes,No (2/4),No,No,No (6/17),2
2015ARYA03,Aniketh Arya,India,Yes,Yes,No (3/4),No,No,No (6/17),2
2015BELO03,Will Belote,USA,Yes,Yes,No (1/4),No,No,No (4/17),2
2015CLAU02,Carson Claud,USA,Yes,Yes,No (3/4),No,No,No (4/17),2
2015DAIS01,Shifei Dai (代时飞),China,Yes,Yes,No (2/4),No,No,No (0/17),2
2015DORN02,Paris Dorn,Canada,Yes,Yes,No (2/4),No,No,No (12/17),2
2015FEDE01,Alexis Fedeler,Germany,Yes,Yes,No (3/4),No,No,No (1/17),2
2015GUNN01,Jakob Gunnarsson,Sweden,Yes,Yes,No (2/4),No,No,No (13/17),2
2015HAMM01,Billie Hammill,United Kingdom,Yes,Yes,No (3/4),No,No,No (2/17),2
2015HIGH01,Liam Highducheck,Australia,Yes,Yes,No (2/4),No,No,No (5/17),2
2015IVAN03,Oleksandr Ivanchak (Олександр Іванчак),Ukraine,Yes,Yes,No (2/4),No,No,No (7/17),2
2015JAEH01,Konstantin Jaehne,Germany,Yes,Yes,No (3/4),No,No,No (5/17),2
2015KANY01,Yikuan Kan (阚亦宽),China,Yes,Yes,No (3/4),No,No,No (1/17),2
2015KEAR01,Steven Kearns,United Kingdom,Yes,Yes,No (1/4),No,No,No (7/17),2
2015MATT05,Enzo Mattos,Brazil,Yes,Yes,No (2/4),No,No,No (12/17),2
2015MIKH04,Farid Mikhailov,Kazakhstan,Yes,Yes,No (2/4),No,No,No (13/17),2
2015MUZO01,Zongwen Mu (牟宗文),China,Yes,Yes,No (2/4),No,No,No (0/17),2
2015NICH04,AJ Nicholls,United Kingdom,Yes,Yes,No (2/4),No,No,No (0/17),2
2015RIBI01,Vilius Ribinskas,Lithuania,Yes,Yes,No (2/4),No,No,No (11/17),2
2015RIZZ02,Luca Rizzi,Switzerland,Yes,Yes,No (2/4),No,No,No (3/17),2
2015RUSS03,Will Russo,USA,Yes,Yes,No (3/4),No,No,No (5/17),2
2015SANC18,Josete Sánchez,Spain,Yes,Yes,No (3/4),No,No,No (15/17),2
2015SETT01,Fabian Settelen,Switzerland,Yes,Yes,No (3/4),No,No,No (1/17),2
2015SOAR01,Nikhil Soares,India,Yes,Yes,No (2/4),No,No,No (10/17),2
2015TRAC01,Catherine Trace,USA,Yes,Yes,No (1/4),No,No,No (2/17),2
2015VEER01,Pranav Veera,USA,Yes,Yes,No (2/4),No,No,No (7/17),2
2015VOON01,Liew Yee Voon (劉倚文),Malaysia,Yes,Yes,No (2/4),No,No,No (0/17),2
2015WRIG07,William Wright,United Kingdom,Yes,Yes,No (3/4),No,No,No (3/17),2
2015XION03,Max Xiong (熊锐明),China,Yes,Yes,No (3/4),No,No,No (10/17),2
2015ZHAO07,Xun Zhao (赵洵),China,Yes,Yes,No (2/4),No,No,No (2/17),2
2016ACUN04,Brian Acuña,Philippines,Yes,Yes,No (2/4),No,No,No (9/17),2
2016AMBE02,Dieter Amberger,Austria,Yes,Yes,No (3/4),No,No,No (4/17),2
2016AQUI02,Jose Polorhenzo Aquino,Philippines,Yes,Yes,No (2/4),No,No,No (15/17),2
2016BENI05,Jeremy Benik,USA,Yes,Yes,No (3/4),No,No,No (1/17),2
2016BRIJ01,Abner Brijesh,USA,Yes,No (10/12),Yes,No,No,No (3/17),2
2016BROD01,Bernhard Brodowsky,Germany,Yes,Yes,No (2/4),No,No,No (2/17),2
2016CARA04,Kristian Gil Caragan,Philippines,Yes,Yes,No (2/4),No,No,No (5/17),2
2016CARL02,Jérôme Carlier,Belgium,Yes,Yes,No (2/4),No,No,No (1/17),2
2016CAST31,Samuel Hernandez Castro,Mexico,Yes,Yes,No (2/4),No,No,No (2/17),2
2016CAST48,Timothy Castle,USA,Yes,Yes,No (2/4),No,No,No (9/17),2
2016CHEH02,Haoyang Chen (陈浩杨),China,Yes,Yes,No (2/4),No,No,No (0/17),2
2016CHEJ04,Jianxu Chen (陈建旭),China,Yes,Yes,No (2/4),No,No,No (0/17),2
2016DAVI02,Ethan Davis,USA,Yes,Yes,No (2/4),No,No,No (5/17),2
2016DEXT01,Riley Dexter,Australia,Yes,Yes,No (2/4),No,No,No (10/17),2
2016DICK03,Eng Dickson (黄迪胜),Malaysia,Yes,Yes,No (2/4),No,No,No (3/17),2
2016DING05,Tianping Ding (丁天平),China,Yes,Yes,No (2/4),No,No,No (1/17),2
2016FANG01,Shenghai Fang (方胜海),China,Yes,Yes,No (3/4),No,No,No (4/17),2
2016HARA02,Knut Skaug Haraldsen,Norway,Yes,Yes,No (2/4),No,No,No (12/17),2
2016HART02,Sean Hartman,USA,Yes,Yes,No (3/4),No,No,No (16/17),2
2016HOLZ01,Laura Holzhauer,Germany,Yes,Yes,No (2/4),No,No,No (5/17),2
2016HORV04,Mihály Horváth,Hungary,Yes,Yes,No (3/4),No,No,No (3/17),2
2016JARM01,Myles Jarman,Australia,Yes,Yes,No (2/4),No,No,No (6/17),2
2016JENS09,William Jensen,Sweden,Yes,Yes,No (2/4),No,No,No (10/17),2
2016JEON02,Jaehyun Jeong (정재현),Korea,Yes,Yes,No (2/4),No,No,No (2/17),2
2016JOHN30,Keenan Johnson,USA,Yes,Yes,No (2/4),No,No,No (3/17),2
2016KELL10,Adam Marcellus Kelly,USA,Yes,Yes,No (3/4),No,No,No (1/17),2
2016KLAS01,Jake Klassen,Canada,Yes,No (9/12),No (2/4),No,Yes,No (5/17),2
2016KRAF01,Noah Kraft,Germany,Yes,Yes,No (3/4),No,No,No (8/17),2
2016KRUE01,Ivan Krueger,USA,Yes,Yes,No (2/4),No,No,No (0/17),2
2016MOBE01,Marcus Moberg,Sweden,Yes,Yes,No (2/4),No,No,No (2/17),2
2016OCON02,Lucas O'Connell,New Zealand,Yes,Yes,No (2/4),No,No,No (8/17),2
2016PARK10,Yeon Kyun Park (박연균),Korea,Yes,Yes,No (2/4),No,No,No (2/17),2
2016PFEI01,Jack Pfeifer,USA,Yes,Yes,No (2/4),No,No,No (11/17),2
2016PRES04,Matthew Prestwich,United Kingdom,Yes,Yes,No (3/4),No,No,No (3/17),2
2016PYWI01,Wilfrid Py,France,Yes,Yes,No (3/4),No,No,No (4/17),2
2016QUIN01,James Quinn,USA,Yes,Yes,No (3/4),No,No,No (5/17),2
2016RIDL01,Ben Ridley,United Kingdom,Yes,Yes,No (2/4),No,No,No (4/17),2
2016RUCI01,Marcel Ručigaj,Slovenia,Yes,Yes,No (2/4),No,No,No (6/17),2
2016SALA18,Mikołaj Salamon,Poland,Yes,Yes,No (2/4),No,No,No (2/17),2
2016SOON01,Jareth Soong,Singapore,Yes,Yes,No (3/4),No,No,No (1/17),2
2016TAYL02,Paul Taylor,USA,Yes,Yes,No (3/4),No,No,No (2/17),2
2016TIDS01,Daniel Tidsey,United Kingdom,Yes,Yes,No (3/4),No,No,No (1/17),2
2016VOSO01,Olivier Vos,Netherlands,Yes,Yes,No (2/4),No,No,No (8/17),2
2016WADA01,Shunsuke Wada (和田俊輔),Japan,Yes,Yes,No (1/4),No,No,No (0/17),2
2016WHEA01,Oliver Wheat,United Kingdom,Yes,Yes,No (3/4),No,No,No (4/17),2
2016XIEY03,Yikang Xie (谢轶康),China,Yes,Yes,No (2/4),No,No,No (0/17),2
2016XIZH01,Zhifang Xi (席之枋),China,Yes,Yes,No (2/4),No,No,No (0/17),2
2016ZHEN09,Ang Chin Zhen (洪靖程),Malaysia,Yes,Yes,No (2/4),No,No,No (2/17),2
2017AIPK01,Igor Aipkin,Uzbekistan,Yes,Yes,No (2/4),No,No,No (5/17),2
2017BRYA06,Aedan Bryant,USA,Yes,Yes,No (2/4),No,No,No (7/17),2
2017BUSC03,Danny Buschert,Canada,Yes,Yes,No (2/4),No,No,No (5/17),2
2017CAST41,Raymos Castillo,USA,Yes,Yes,No (2/4),No,No,No (9/17),2
2017CHAN47,Vianne Chang,Canada,Yes,Yes,No (2/4),No,No,No (0/17),2
2017CHEN36,Xinyun Chen (陈新运),China,Yes,Yes,No (2/4),No,No,No (5/17),2
2017CUES02,Luis Fernando Aldás Cuestas,Ecuador,Yes,Yes,No (2/4),No,No,No (10/17),2
2017DUMM01,Matteo Dummar,Italy,Yes,Yes,No (2/4),No,No,No (7/17),2
2017KLOS01,Willem Klose,Germany,Yes,Yes,No (2/4),No,No,No (4/17),2
2017KUMA30,Sukesh Kumar,India,Yes,Yes,No (2/4),No,No,No (4/17),2
2017LAWR04,Timothy Lawrance,South Africa,Yes,Yes,No (3/4),No,No,No (6/17),2
2017LEMB02,Mikus Lembergs,Latvia,Yes,Yes,No (3/4),No,No,No (6/17),2
2017LIMJ02,Jaden Lim,Philippines,Yes,Yes,No (2/4),No,No,No (8/17),2
2017MCLE03,David McLean,Australia,Yes,Yes,No (2/4),No,No,No (1/17),2
2017MINA04,Hannah Minas,Switzerland,Yes,Yes,No (2/4),No,No,No (2/17),2
2017NORR01,Timo Norrkniivilä,Finland,Yes,Yes,No (3/4),No,No,No (7/17),2
2017OPRE02,Mara Oprea,Romania,Yes,Yes,No (2/4),No,No,No (2/17),2
2017OSOV01,Ivan Osovik,Russia,Yes,Yes,No (1/4),No,No,No (4/17),2
2017OWEN01,Harry Owen,United Kingdom,Yes,Yes,No (2/4),No,No,No (2/17),2
2017PARK05,DongSoo Park (박동수),Korea,Yes,Yes,No (1/4),No,No,No (8/17),2
2017PETE04,Tripp Peters,USA,Yes,Yes,No (3/4),No,No,No (1/17),2
2017PIWA01,Wayne Pi,Taiwan,Yes,Yes,No (3/4),No,No,No (4/17),2
2017PODZ01,Modest Podzolkin,Ukraine,Yes,Yes,No (2/4),No,No,No (4/17),2
2017PRES02,Peter Preston,USA,Yes,Yes,No (3/4),No,No,No (1/17),2
2017RICH02,Braden Richards,USA,Yes,Yes,No (2/4),No,No,No (3/17),2
2017SASA03,Akifumi Sasaki (佐々木彰史),Japan,Yes,Yes,No (2/4),No,No,No (1/17),2
2017SOLE01,Aaron Soley,USA,Yes,Yes,No (2/4),No,No,No (0/17),2
2017SUNC02,Christopher Sun,USA,Yes,Yes,No (2/4),No,No,No (10/17),2
2017SWOR01,Noah Swor,USA,Yes,Yes,No (2/4),No,No,No (10/17),2
2017XIAO09,Bowen Xiao (肖博文),China,Yes,Yes,No (2/4),No,No,No (2/17),2
2017XUAN03,Shawn Lee Zhi Xuan (李致轩),Malaysia,Yes,Yes,No (3/4),No,No,No (1/17),2
2017YUZH03,Yu Zhou (周煜),China,Yes,Yes,No (2/4),No,No,No (0/17),2
2017ZHUX01,Xiaoliang Zhu (朱校良),China,Yes,Yes,No (2/4),No,No,No (0/17),2
2018AMSB02,Stone Amsbaugh,USA,Yes,Yes,No (3/4),No,No,No (5/17),2
2018BLOC01,Jonathan Blöcher,Germany,Yes,Yes,No (3/4),No,No,No (3/17),2
2018BRUU01,Jacob Oliver Bruun,Norway,Yes,Yes,No (2/4),No,No,No (1/17),2
2018CAST08,Oliver Castledine,United Kingdom,Yes,Yes,No (2/4),No,No,No (0/17),2
2018CREE01,Kerry Creech,USA,Yes,Yes,No (3/4),No,No,No (6/17),2
2018FANG03,Lichi Fang (方力驰),China,Yes,Yes,No (2/4),No,No,No (1/17),2
2018FANG10,Weijie Fang (方伟杰),China,Yes,Yes,No (2/4),No,No,No (0/17),2
2018GRAH05,Kate Grahame,USA,Yes,Yes,No (3/4),No,No,No (4/17),2
2018LINB02,Bo-Yu Lin (林柏佑),Taiwan,Yes,Yes,No (2/4),No,No,No (0/17),2
2018LIUL05,Lichao Liu (刘立超),China,Yes,Yes,No (2/4),No,No,No (0/17),2
2018MADR02,Maxime Madrzyk,France,Yes,Yes,No (2/4),No,No,No (4/17),2
2018RIAB01,Yurii Riabov (Юрій Рябов),Ukraine,Yes,Yes,No (2/4),No,No,No (1/17),2
2018SCHW02,Philippe Schwartz,Luxembourg,Yes,Yes,No (3/4),No,No,No (0/17),2
2018SPIL01,Aaron Spiller,Australia,Yes,Yes,No (3/4),No,No,No (2/17),2
2018SUNC02,Chenhao Sun (孙晨皓),China,Yes,Yes,No (3/4),No,No,No (0/17),2
2018TING05,Ming Dao Ting,Australia,Yes,Yes,No (3/4),No,No,No (0/17),2
2018WEYE01,Peter Weyers,USA,Yes,Yes,No (2/4),No,No,No (6/17),2
2018WROT01,Brayden Wroten,USA,Yes,Yes,No (2/4),No,No,No (10/17),2
2018YUAN02,Anqi Yu,Bulgaria,Yes,Yes,No (2/4),No,No,No (1/17),2
2019BANG01,Andrew Tan Jing Bang,Singapore,Yes,Yes,No (2/4),No,No,No (1/17),2
2019BORO03,Šimon Borovský,Slovakia,Yes,Yes,No (2/4),No,No,No (1/17),2
2019CSEN01,Bálint Csengő,Hungary,Yes,Yes,No (2/4),No,No,No (9/17),2
2019CUTT01,Elizabeth Cutting,USA,Yes,Yes,No (2/4),No,No,No (3/17),2
2019EGGI02,Charlie Eggins,Australia,Yes,Yes,No (2/4),No,No,No (6/17),2
2019ENGE02,Achia Engel,Israel,Yes,Yes,No (3/4),No,No,No (2/17),2
2019FONG04,Ryan Fong,USA,Yes,Yes,No (1/4),No,No,No (1/17),2
2019GUOY04,Yutao Guo (郭宇韬),China,Yes,Yes,No (2/4),No,No,No (0/17),2
2019RIED01,Jan Riedl,Czech Republic,Yes,Yes,No (3/4),No,No,No (3/17),2
2019SHEN10,Jeremy Sheng,USA,Yes,Yes,No (2/4),No,No,No (5/17),2
2019SMIT36,Amy Smith,Australia,Yes,Yes,No (3/4),No,No,No (5/17),2
2019WANZ21,Zhe Wang (王哲),China,Yes,Yes,No (3/4),No,No,No (0/17),2
2019WARE01,Faiz Wareh,USA,Yes,Yes,No (2/4),No,No,No (0/17),2
2019WAWR01,Igor Wojciech Wawrzynski,Poland,Yes,Yes,No (2/4),No,No,No (2/17),2
2020DWOR01,Kacper Paweł Dworak,Poland,Yes,Yes,No (3/4),No,No,No (9/17),2
2021ELIA01,Niklas Aasen Eliasson,Norway,Yes,Yes,No (3/4),No,No,No (5/17),2
2021OTAI01,Zakarya Otair,Jordan,Yes,Yes,No (1/4),No,No,No (14/17),2
2021PISK01,Karol Piskorek,Poland,Yes,Yes,No (3/4),No,No,No (4/17),2
2022PART02,Daniel Partridge,United Kingdom,Yes,Yes,No (2/4),No,No,No (10/17),2
2022SLOA01,Daniel Sloan,United Kingdom,Yes,Yes,No (1/4),No,No,No (5/17),2
2022SUIJ01,Justin Sui,USA,Yes,Yes,No (2/4),No,No,No (1/17),2
2023XUZI01,Ziyi Xu (徐梓翼),China,Yes,Yes,No (2/4),No,No,No (0/17),2
